ID,名前,タイミング,使用回数,スキルID,画像名表,画像名裏,売値,買値,並ぶ商店リスト,効果説明
37,Diamond XII,4,1,102,467_card_green,449_card_d12,30000,15000,98,Generate a barrier to negate attacks for all allies 
38,Diamond XIII,16,3,103,467_card_green,450_card_d13,50000,25000,58,Unpredictable outcome 
39,Heart I,3,1,104,466_card_blue,451_card_h1,1000,500,2 6,Recover 30% of allies' single unit's troops and HP 
40,Heart II,6,1,105,466_card_blue,452_card_h2,1000,500,26,Cure all allies' poison status 
41,Heart III,16,99,106,466_card_blue,453_card_h3,1900,950,26,Recover 30% of allies' single unit's troops and HP、that doesn't disappear. 
42,Heart IV,16,1,107,466_card_blue,454_card_h4,2500,1250,26,Remove negative status correction on a single ally. 
43,Heart V,3,1,108,466_card_blue,455_card_h5,3200,1600,26,Recover 30% of the soldiers and HP for all allies. 
44,Heart VI,2,1,109,466_card_blue,456_card_h6,4000,2000,26,Recover 50% of the soldiers and HP for one ally. 
45,Heart VII,16,1,110,466_card_blue,457_card_h7,4600,2300,26,Remove negative status adjustments for all allies. 
46,Heart VIII,2,1,111,466_card_blue,458_card_h8,5900,2950,83,Heal all allies' troops and HP by 50% 
47,Heart IX,5,1,112,466_card_blue,459_card_h9,7300,3650,83,Fully heal one ally's troops and HP 
48,Heart X,16,1,113,466_card_blue,460_card_h10,8600,4300,83,Fully heal all allies' troops and HP. 
49,Heart XI,16,99,114,466_card_blue,461_card_h11,30000,15000,98,Recover 30% of the number and HP of all allies' troops. Cannot be defeated.
50,Heart XII,4,1,115,466_card_blue,462_card_h12,30000,15000,98,Remove negative status effects applied to all allies. Cannot be defeated.
51,Heart XIII,16,99,116,466_card_blue,463_card_h13,90000,45000,0,Revive all allied units' soldiers and HP by 100%. Cannot be defeated.
52,Joker,0,-1,117,469_card_gray,464_card_joker,99999,50000,0,Summon a vampire girl and fight alongside her. 
,,,,,,,,,,
,,,,,,,,,,
,,  0:戦闘開始時,,,,,,,,
,,  1:戦闘終了時　,,,,,,,,
,,  2:カード発動側のどれかのユニットの兵数が10%以下になったとき,,,,,,,,
,,  3:兵数が50%以下になったとき,,,,,,,,
,,  4:HPが10%以下になったとき,,,,,,,,
,,  5:HPが50%以下になったとき,,,,,,,,
,,  6:毒にかかった,,,,,,,,
,,  7:死亡した,,,,,,,,
,,  8:カード発動側の相手側のどれかのユニットの兵数が10%以下になったとき,,,,,,,,
,,  9:50%以下になったとき,,,,,,,,
,,  10:HPが10%以下になったとき,,,,,,,,
,,  11:HPが50%以下になったとき,,,,,,,,
,,  12:毒にかかった,,,,,,,,
,,  13:死亡した,,,,,,,,
,,  14:条件なしで80%発動,,,,,,,,
,,  15:50%発動,,,,,,,,
,,  16:20%発動,,,,,,,,
